title,url,repository,cited_by_count,cited_by_taxa
Marina Skotnikova,https://www.plantarium.ru/lang/en/page/image/id/402059.html,plantarium.ru,1,ALOCASIA DECIPIENS
Marius Porte: short biography,http://bernard.lagrelle.pagesperso-orange.fr/AA%20personnages/MARIUS%20PORTE/MARIUS%20PORTE.htm,bernard.lagrelle.pagesperso-orange.fr,1,ALOCASIA PORTEI
Meded. Lands Plantentuin 19: 299 (1898),https://books.googleusercontent.com/books/content?req=AKW5QacYKh75owomfwS2dipQH9_fCK6sjE47b-jvU_5MkxOJMS8MQQn4MI_T25AIIxFpOi6hSNPWqwa9TNyluhACYAXLBBRYDgUlWcJjTYoNu-vbvWhFDOqzL9-AQtmK1Rd1m0Ehwno5E1-IkX5IAgXvPA1quA_kyZtHNpgvIZrAB47gONoWcPux2noZXsOwrGaK7nb5gn9dWgDbCLJZeeZbhCX1tHvJYVdVfD2F0r1nxjdQ0nJj6uwdXil0k2nvKAoEN94OwN0HOOfP6wc2VBGcdMBCNKg2QMjMaumNnhd6mfeOqV0GQvw,books.googleusercontent.com,1,ALOCASIA CELEBICA
Mededeelingen van's Rijks Herbarium 26:7 (1915),https://www.biodiversitylibrary.org/page/13684390,biodiversitylibrary.org,1,ALOCASIA INORNATA
Morphological and Anatomical variations among Alocasia alba accessions in Bali Botanical Garden | Journal of Tropical Biodiversity and Biotechnology (2022),https://www.researchgate.net/publication/358585539_Morphological_and_Anatomical_Variations_among_Alocasia_alba_Schott_Accessions_in_Bali_Botanic_Garden?fbclid=IwY2xjawIN1lVleHRuA2FlbQIxMAABHbEtf3G9qw6ST5uq6UFuDEABaiNE_6QxJ6SQnkm1Cqq1NX-ifk79ZYroXQ_aem_yKzScDVoR8YqZTIMT7tv-g,researchgate.net,1,ALOCASIA ALBA
"Nguyen V. D., Croat T. B., Luu H. T., Lee C. Y., Lee J. & de Kok R.: Two new species of Alocasia (Araceae, Colocasieae) from Vietnam. – Willdenowia 43: 293 – 299. December 2013. – ISSN 0511-9618; © 2013 BGBM Berlin-Dahlem.",http://dx.doi.org/10.3372/wi.43.43209,dx.doi.org,1,ALOCASIA EVRARDII
Annals of the Missouri Botanical Garden v.77 (1990) P.667,https://www.biodiversitylibrary.org/page/28001167,biodiversitylibrary.org,1,ALOCASIA PORTEI
Nova Guinea : résultats de l'expédition scientifique néerlandaise à la Nouvelle-Guinée (V8:807) (1912),https://www.biodiversitylibrary.org/page/11445407,biodiversitylibrary.org,1,ALOCASIA LANCIFOLIA
Nova Guinea V.8 Part 3 (1907-1909) P. 584,https://www.biodiversitylibrary.org/page/11435891,biodiversitylibrary.org,1,ALOCASIA AEQUILOBA
"Novitates Bruneienses, 6. Alocasia azlanii (Araceae), a New Species from Brunei",https://www.researchgate.net/publication/314703314_Novitates_Bruneienses_6_Alocasia_azlanii_Araceae_a_New_Species_from_Brunei,researchgate.net,1,ALOCASIA AZLANII
